index,Name,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
413,Aaron Gray,2007.0,61.0,10.0,4.3,1.7,3.3,50.5,0.0,0.0,0,0.9,1.6,56.6,1.1,1.6,2.8,0.7,0.3,0.3,0.9,5.0
414,Dominic McGuire,2007.0,70.0,9.9,1.3,0.6,1.5,37.9,0.0,0.1,16.7,0.2,0.5,43.8,0.8,1.2,2.0,0.6,0.3,0.4,0.6,2.8
415,Brandan Wright,2007.0,38.0,9.9,4.0,1.6,2.9,55.4,0.0,0.0,0,0.7,1.1,67.5,1.0,1.6,2.6,0.2,0.2,0.6,0.3,5.6
416,Oleksiy Pecherov,2007.0,35.0,9.1,3.6,1.3,3.6,35.2,0.5,1.7,28.3,0.6,0.9,64.5,0.6,1.3,1.9,0.2,0.2,0.1,0.5,2.9
417,Jermareo Davidson,2007.0,38.0,8.5,3.2,1.3,3.3,40.8,0.0,0.0,0,0.5,0.7,64.3,0.6,1.1,1.6,0.3,0.2,0.4,0.5,3.1
418,Mario West,2007.0,64.0,4.2,0.9,0.3,0.8,42.9,0.0,0.1,0,0.3,0.4,65.4,0.4,0.3,0.8,0.2,0.2,0.1,0.1,1.4
419,Demetris Nichols,2007.0,14.0,3.1,1.1,0.4,1.6,26.1,0.2,0.9,23.1,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.0,0.2,0.3,0.2
420,Brandon Roy,2006.0,57.0,35.4,16.8,6.1,13.4,45.6,1.0,2.6,37.7,3.5,4.2,83.8,1.0,3.4,4.4,4.0,1.2,0.2,2.0,16.5
421,Adam Morrison,2006.0,78.0,29.8,11.8,4.6,12.1,37.6,1.1,3.3,33.7,1.5,2.2,71.0,0.7,2.3,2.9,2.1,0.4,0.1,1.7,7.4
422,Jorge Garbajosa,2006.0,67.0,28.5,8.5,3.3,7.9,42.0,1.0,2.9,34.2,0.9,1.2,73.1,0.7,4.2,4.9,1.9,1.2,0.2,1.0,10.8
423,Rudy Gay,2006.0,78.0,27.0,10.8,4.1,9.7,42.2,0.7,1.8,36.4,1.9,2.7,72.7,1.2,3.3,4.5,1.3,0.9,0.9,1.8,10.3
424,Andrea Bargnani,2006.0,65.0,25.1,11.6,4.1,9.6,42.7,1.5,4.1,37.3,1.8,2.2,82.4,0.8,3.1,3.9,0.8,0.5,0.8,1.6,10.0
425,Rajon Rondo,2006.0,78.0,23.5,6.4,2.4,5.8,41.8,0.1,0.4,20.7,1.5,2.4,64.7,0.9,2.8,3.7,3.8,1.6,0.1,1.8,9.8
426,Randy Foye,2006.0,82.0,22.9,10.1,3.7,8.4,43.4,0.8,2.3,36.8,2.0,2.3,85.4,0.6,2.1,2.7,2.8,0.7,0.3,1.9,9.6
427,LaMarcus Aldridge,2006.0,63.0,22.1,9.0,3.8,7.6,50.3,0.0,0.0,0,1.3,1.8,72.2,2.3,2.7,5.0,0.4,0.3,1.2,0.7,10.8
428,Tarence Kinsey,2006.0,48.0,20.1,7.7,2.9,6.3,45.7,0.3,1.0,28.3,1.6,2.0,79.6,0.6,1.4,2.0,0.9,1.1,0.0,1.0,6.9
429,Walter Herrmann,2006.0,48.0,19.5,9.2,3.6,6.9,52.7,1.1,2.4,46.1,0.9,1.1,77.4,0.6,2.3,2.9,0.5,0.3,0.1,0.7,9.0
430,Craig Smith,2006.0,82.0,18.7,7.4,3.0,5.6,53.1,0.0,0.1,0,1.4,2.3,62.4,1.8,3.3,5.1,0.6,0.6,0.2,0.9,9.5
431,Shelden Williams,2006.0,81.0,18.7,5.5,2.0,4.5,45.5,0.0,0.0,50,1.4,1.8,76.4,1.6,3.8,5.4,0.5,0.6,0.5,1.2,8.5
432,Yakhouba Diawara,2006.0,64.0,18.4,4.4,1.6,4.6,34.2,0.8,2.7,28.8,0.5,0.8,66.0,0.4,1.3,1.7,0.9,0.5,0.1,0.6,3.7
433,Paul Millsap,2006.0,82.0,18.0,6.8,2.5,4.9,52.5,0.0,0.0,33.3,1.7,2.5,67.3,2.2,2.9,5.2,0.8,0.8,0.9,1.1,10.2
434,Mickael Gelabale,2006.0,70.0,17.7,4.6,1.7,3.8,46.2,0.2,0.7,23.4,0.9,1.2,80.5,0.8,1.6,2.5,0.8,0.3,0.3,0.7,5.6
435,Rodney Carney,2006.0,67.0,17.4,6.6,2.7,5.9,46.4,0.4,1.1,34.7,0.8,1.3,60.9,0.6,1.3,1.9,0.4,0.6,0.3,0.6,5.5
436,Marcus Williams,2006.0,79.0,16.6,6.8,2.6,6.7,39.5,0.6,2.1,28.2,0.9,1.1,84.7,0.4,1.7,2.1,3.3,0.4,0.0,1.8,6.5
437,Daniel Gibson,2006.0,60.0,16.5,4.6,1.6,3.9,42.4,0.9,2.1,41.9,0.5,0.7,71.8,0.5,1.1,1.5,1.2,0.4,0.1,0.7,4.7
438,Kelenna Azubuike,2006.0,41.0,16.3,7.1,2.4,5.4,44.5,0.8,1.9,43,1.5,1.9,78.2,0.6,1.7,2.3,0.7,0.5,0.2,0.9,6.5
439,Renaldo Balkman,2006.0,68.0,15.6,4.9,2.0,4.0,50.5,0.1,0.4,18.5,0.8,1.3,56.7,1.4,2.9,4.3,0.6,0.8,0.7,0.7,8.1
440,Jordan Farmar,2006.0,72.0,15.1,4.4,1.7,4.1,42.2,0.6,1.9,32.8,0.4,0.5,71.1,0.3,1.3,1.7,1.9,0.6,0.1,1.0,5.2
441,Allan Ray,2006.0,47.0,15.1,6.2,2.1,5.5,38.6,1.0,2.5,41.4,0.9,1.2,76.4,0.4,1.1,1.5,0.9,0.4,0.1,0.9,4.5
442,Mardy Collins,2006.0,52.0,14.9,4.5,1.7,4.4,38.2,0.3,0.9,27.7,0.9,1.6,58.5,0.5,1.5,2.0,1.6,0.6,0.1,1.1,4.3
443,JJ Redick,2006.0,42.0,14.8,6.0,1.9,4.6,41.0,0.9,2.3,38.8,1.3,1.4,90.0,0.2,1.0,1.2,0.9,0.3,0.0,0.5,5.0
444,Ersan Ilyasova,2006.0,66.0,14.7,6.1,2.1,5.5,38.3,0.8,2.2,36.5,1.1,1.3,78.7,0.9,2.0,2.9,0.7,0.4,0.3,0.8,5.9
445,Tyrus Thomas,2006.0,72.0,13.4,5.2,1.9,3.9,47.5,0.0,0.0,0,1.5,2.4,60.6,1.2,2.5,3.7,0.6,0.6,1.1,1.3,6.9
446,Sergio Rodriguez,2006.0,67.0,12.9,3.7,1.5,3.6,42.3,0.4,1.3,28.2,0.3,0.4,80.8,0.3,1.1,1.4,3.3,0.5,0.0,1.1,5.6
447,Alexander Johnson,2006.0,59.0,12.8,4.4,1.5,2.9,53.8,0.0,0.0,0,1.3,2.0,66.1,0.8,2.2,3.1,0.3,0.4,0.6,0.8,6.0
448,Thabo Sefolosha,2006.0,71.0,12.2,3.6,1.5,3.6,42.6,0.2,0.6,35.7,0.3,0.6,51.1,0.5,1.7,2.2,0.8,0.5,0.1,0.8,4.0
449,Cedric Simmons,2006.0,43.0,12.4,2.9,1.3,3.1,41.7,0.0,0.0,0,0.4,0.8,48.5,1.0,1.5,2.5,0.3,0.2,0.5,0.5,3.7
450,Shawne Williams,2006.0,46.0,12.1,3.9,1.6,3.5,46.9,0.4,1.1,36.5,0.2,0.4,55.0,0.7,1.1,1.8,0.5,0.1,0.2,0.5,3.9
451,Ronnie Brewer,2006.0,56.0,12.1,4.6,1.8,3.4,52.8,0.0,0.2,0,1.0,1.5,67.5,0.7,0.7,1.3,0.4,0.7,0.1,0.4,4.6
452,David Noel,2006.0,68.0,11.6,2.7,1.0,2.6,36.7,0.3,0.8,32.1,0.5,0.6,86.0,0.6,1.2,1.8,1.0,0.4,0.1,0.6,3.6
453,Solomon Jones,2006.0,58.0,11.5,3.3,1.1,2.2,50.8,0.0,0.0,0,1.0,1.3,78.7,0.8,1.5,2.3,0.2,0.2,0.7,0.4,4.9
454,Leon Powe,2006.0,63.0,11.4,4.2,1.3,2.8,44.6,0.0,0.0,0,1.7,2.3,73.6,1.5,1.9,3.4,0.2,0.2,0.3,0.8,5.4
455,Hilton Armstrong,2006.0,56.0,11.3,3.1,1.2,2.2,54.4,0.0,0.0,0,0.7,1.2,59.7,1.0,1.6,2.7,0.2,0.2,0.5,0.6,4.5
456,Josh Boone,2006.0,61.0,11.0,4.2,1.6,2.8,57.9,0.0,0.0,0,0.9,1.7,54.4,1.0,1.8,2.9,0.2,0.2,0.3,0.5,5.2
457,Lynn Greer,2006.0,41.0,10.5,4.1,1.5,3.4,43.3,0.4,1.3,34.6,0.7,0.8,84.4,0.0,0.6,0.7,1.3,0.4,0.0,0.4,4.0
458,Chris Quinn,2006.0,42.0,9.7,3.4,1.1,3.1,36.6,0.5,1.4,35.1,0.6,0.9,67.6,0.1,0.6,0.7,1.5,0.4,0.0,0.5,3.2
459,Dee Brown,2006.0,49.0,9.2,1.9,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,2.8
460,Quincy Douby,2006.0,42.0,8.5,2.8,1.1,3.0,38.1,0.3,1.2,24,0.3,0.4,73.3,0.3,0.6,0.9,0.4,0.4,0.1,0.4,2.2
461,Hassan Adams,2006.0,61.0,8.1,2.9,1.2,2.2,55.6,0.0,0.0,0,0.4,0.6,66.7,0.6,0.7,1.3,0.2,0.3,0.1,0.4,3.1
462,Bobby Jones,2006.0,44.0,7.6,2.5,1.0,2.1,46.2,0.0,0.2,11.1,0.5,0.9,56.1,0.5,0.8,1.3,0.4,0.3,0.0,0.4,2.5
463,Andre Brown,2006.0,38.0,7.1,2.4,1.1,1.9,56.8,0.0,0.0,0,0.2,0.4,60.0,0.7,1.3,1.9,0.1,0.2,0.1,0.8,2.9
464,Steve Novak,2006.0,35.0,5.5,1.5,0.5,1.4,36.0,0.4,1.1,33.3,0.1,0.1,100.0,0.1,0.6,0.7,0.2,0.1,0.0,0.1,1.5
465,Chris Paul,2005.0,78.0,36.0,16.1,5.2,12.1,43.0,0.6,2.3,28.2,5.1,6.0,84.7,0.8,4.3,5.1,7.8,2.2,0.1,2.4,21.2
466,Raymond Felton,2005.0,80.0,30.1,11.9,4.3,11.0,39.1,1.2,3.4,35.8,2.0,2.8,72.5,1.0,2.4,3.3,5.6,1.3,0.1,2.3,12.4
467,Charlie Villanueva,2005.0,81.0,29.1,13.0,5.4,11.6,46.3,0.9,2.6,32.7,1.4,2.0,70.6,2.2,4.2,6.4,1.1,0.7,0.8,1.2,14.0
468,Luther Head,2005.0,80.0,28.9,8.8,3.2,7.9,40.3,1.4,3.9,36.1,1.1,1.5,69.9,0.4,2.9,3.3,2.7,1.1,0.1,1.5,9.4
469,Deron Williams,2005.0,80.0,28.8,10.8,4.2,10.1,42.1,1.1,2.7,41.6,1.2,1.7,70.4,0.4,2.0,2.4,4.5,0.8,0.2,1.8,10.5
470,Andrew Bogut,2005.0,82.0,28.6,9.4,3.9,7.4,53.3,0.0,0.0,0,1.5,2.4,62.9,2.3,4.7,7.0,2.3,0.6,0.8,1.5,14.3
471,Marvin Williams,2005.0,79.0,24.7,8.5,3.0,6.7,44.3,0.2,0.7,24.5,2.4,3.2,74.7,1.5,3.3,4.8,0.8,0.6,0.3,1.1,9.5
472,Channing Frye,2005.0,65.0,24.2,12.3,4.7,9.8,47.7,0.0,0.1,33.3,2.9,3.5,82.5,2.1,3.6,5.8,0.8,0.5,0.7,1.5,12.8
473,Jose Calderon,2005.0,64.0,23.2,5.5,2.1,4.9,42.3,0.1,0.7,16.3,1.2,1.4,84.8,0.5,1.7,2.2,4.5,0.7,0.1,1.6,8.3
474,Danny Granger,2005.0,78.0,22.6,7.5,2.8,6.1,46.2,0.4,1.2,32.3,1.5,1.9,77.7,1.7,3.2,4.9,1.2,0.7,0.8,1.0,10.4
475,Ryan Gomes,2005.0,61.0,22.6,7.6,2.8,5.8,48.7,0.0,0.1,33.3,1.8,2.4,75.2,1.7,3.2,4.9,1.0,0.6,0.1,0.9,9.6
476,Nate Robinson,2005.0,72.0,21.4,9.3,3.2,7.8,40.7,0.8,2.0,39.7,2.1,2.8,75.2,0.8,1.5,2.3,2.0,0.8,0.0,1.6,7.6
477,Sarunas Jasikevicius,2005.0,75.0,20.8,7.3,2.3,5.7,39.6,1.1,3.1,36.4,1.6,1.8,91.0,0.3,1.8,2.0,3.0,0.5,0.1,1.6,7.8
478,Salim Stoudamire,2005.0,61.0,20.3,9.7,3.3,8.1,41.5,1.3,3.5,38,1.6,1.8,90.0,0.2,1.7,1.9,1.2,0.4,0.1,1.3,7.0
479,Jarrett Jack,2005.0,79.0,20.2,6.7,2.4,5.4,44.2,0.3,1.0,26.3,1.6,2.0,80.0,0.2,1.8,2.0,2.8,0.5,0.0,1.3,7.3
480,Joey Graham,2005.0,80.0,19.8,6.7,2.5,5.2,47.8,0.4,1.1,33.3,1.4,1.7,81.2,0.7,2.3,3.1,0.8,0.5,0.2,1.1,6.9
481,Francisco Garcia,2005.0,67.0,19.4,5.6,1.9,4.9,40.0,0.6,2.0,28.5,1.2,1.5,77.2,0.6,2.2,2.8,1.4,0.6,0.7,1.1,6.7
482,Johan Petro,2005.0,68.0,18.9,5.2,2.3,4.4,51.0,0.0,0.0,0,0.7,1.1,62.7,1.6,2.8,4.4,0.2,0.4,0.8,0.9,7.4
483,Monta Ellis,2005.0,49.0,18.1,6.8,2.7,6.5,41.5,0.6,1.7,34.1,0.9,1.2,71.2,0.4,1.7,2.1,1.6,0.7,0.2,1.2,6.1
484,Martell Webster,2005.0,61.0,17.5,6.6,2.3,5.7,39.9,1.1,3.0,35.7,1.0,1.2,85.9,0.5,1.7,2.1,0.6,0.3,0.2,0.7,5.6
485,Rashad McCants,2005.0,79.0,17.2,7.9,3.1,6.8,45.0,0.8,2.3,37.2,1.0,1.3,73.6,0.4,1.4,1.8,0.8,0.6,0.3,1.1,6.2
486,David Lee,2005.0,67.0,16.9,5.1,2.0,3.4,59.6,0.0,0.0,0,1.1,1.8,57.7,1.6,2.9,4.5,0.6,0.5,0.3,0.8,8.1
487,Alan Anderson,2005.0,36.0,15.7,5.8,2.1,5.0,41.4,0.7,1.6,41.4,0.9,1.1,80.5,0.6,1.3,1.9,0.9,0.3,0.1,0.9,4.9
488,Orien Greene,2005.0,80.0,15.4,3.2,1.3,3.2,39.5,0.1,0.5,22.5,0.6,0.9,66.2,0.5,1.4,1.8,1.6,1.0,0.1,1.4,4.1
489,Ike Diogu,2005.0,69.0,14.9,7.0,2.5,4.8,52.4,0.0,0.0,0,2.0,2.4,81.0,1.4,1.9,3.3,0.4,0.2,0.4,1.1,7.5
490,Daniel Ewing,2005.0,66.0,14.7,3.8,1.5,3.9,38.0,0.3,1.2,28.2,0.5,0.7,78.3,0.3,0.9,1.3,1.3,0.6,0.1,0.9,3.6
491,Gerald Fitch,2005.0,18.0,13.3,4.7,1.7,4.9,33.7,0.4,1.4,26.9,0.9,1.3,73.9,0.4,1.3,1.7,1.8,0.4,0.3,0.8,4.4
492,Sergei Monia,2005.0,26.0,13.2,3.0,1.1,3.3,33.3,0.3,1.3,26.5,0.4,0.5,71.4,0.4,1.6,2.0,0.7,0.3,0.2,0.5,3.3
493,James Singleton,2005.0,59.0,12.8,3.4,1.3,2.6,51.0,0.2,0.3,50,0.7,0.8,78.0,1.1,2.3,3.3,0.5,0.3,0.4,0.5,6.0
494,Josh Powell,2005.0,37.0,11.6,3.0,1.0,2.2,45.7,0.0,0.0,0,1.0,1.2,80.0,0.8,1.4,2.2,0.2,0.2,0.1,0.6,3.7
495,Hakim Warrick,2005.0,68.0,10.6,4.1,1.5,3.4,44.3,0.0,0.0,0,1.1,1.7,66.1,0.6,1.5,2.1,0.4,0.2,0.3,0.8,3.9
496,Wayne Simien,2005.0,43.0,9.6,3.4,1.3,2.8,48.3,0.0,0.0,0,0.7,0.8,88.2,0.9,1.2,2.0,0.2,0.3,0.0,0.6,3.8
497,Antoine Wright,2005.0,39.0,9.5,1.8,0.7,2.1,35.8,0.0,0.4,6.7,0.3,0.6,50.0,0.2,0.6,0.8,0.3,0.1,0.1,0.5,0.9
498,Donell Taylor,2005.0,51.0,9.1,2.7,1.0,2.7,39.0,0.1,0.3,23.5,0.6,0.8,69.8,0.3,0.7,1.0,0.9,0.6,0.1,0.7,2.8
499,CJ Miles,2005.0,23.0,8.8,3.4,1.2,3.3,36.8,0.2,0.9,25,0.8,1.0,75.0,0.8,0.9,1.7,0.7,0.3,0.1,0.4,3.4
500,Kevin Burleson,2005.0,39.0,8.7,1.8,0.6,2.3,25.0,0.3,1.4,18.5,0.4,0.4,94.1,0.1,0.6,0.7,1.2,0.7,0.1,0.6,2.1
501,Esteban Batista,2005.0,57.0,8.7,1.8,0.6,1.4,42.5,0.0,0.0,0,0.6,0.9,62.3,1.1,1.5,2.5,0.1,0.3,0.2,0.7,3.1
502,Shavlik Randolph,2005.0,57.0,8.5,2.3,0.8,1.7,45.4,0.0,0.0,0,0.8,1.2,60.6,1.0,1.4,2.3,0.3,0.3,0.2,0.4,3.7
503,Linas Kleiza,2005.0,61.0,8.5,3.5,1.3,2.8,44.5,0.0,0.2,15.4,0.9,1.3,70.4,0.6,1.3,1.9,0.2,0.2,0.2,0.3,3.8
504,Fabricio Oberto,2005.0,59.0,8.3,1.7,0.7,1.6,47.3,0.0,0.0,0,0.3,0.5,55.6,1.0,1.1,2.1,0.5,0.1,0.2,0.5,3.1
505,Andrew Bynum,2005.0,46.0,7.3,1.6,0.7,1.8,40.2,0.0,0.0,0,0.2,0.6,29.6,0.7,1.0,1.7,0.2,0.1,0.5,0.4,2.3
506,Lawrence Roberts,2005.0,33.0,5.5,1.5,0.6,1.3,45.5,0.0,0.1,0,0.3,0.7,47.8,0.8,0.7,1.5,0.2,0.2,0.1,0.1,2.2
507,Emeka Okafor,2004.0,73.0,35.6,15.1,6.1,13.7,44.7,0.0,0.0,0,2.9,4.7,60.9,3.8,7.1,10.9,0.9,0.8,1.7,1.7,18.3
508,Andre Iguodala,2004.0,82.0,32.8,9.0,3.3,6.7,49.3,0.6,1.7,33.1,1.9,2.6,74.3,1.1,4.6,5.7,3.0,1.7,0.6,1.7,14.2
509,Dwight Howard,2004.0,82.0,32.6,12.0,4.3,8.3,52.0,0.0,0.0,0,3.4,5.0,67.1,3.5,6.5,10.0,0.9,0.9,1.7,2.0,17.9
510,Josh Childress,2004.0,80.0,29.7,10.1,3.8,8.0,47.0,0.2,0.7,23.2,2.4,2.9,82.3,2.4,3.6,6.0,1.9,0.9,0.4,1.3,13.3
511,Josh Smith,2004.0,74.0,27.7,9.7,3.7,8.1,45.5,0.1,0.3,17.4,2.2,3.2,68.8,2.0,4.2,6.2,1.7,0.8,1.9,1.8,13.0
512,Luol Deng,2004.0,61.0,27.3,11.7,4.6,10.6,43.4,0.5,1.9,26.5,2.0,2.7,74.1,1.5,3.8,5.3,2.2,0.8,0.4,1.9,11.8
513,Chris Duhon,2004.0,82.0,26.5,5.9,2.1,6.0,35.2,1.1,3.2,35.5,0.6,0.8,73.1,0.3,2.3,2.6,4.9,1.0,0.0,1.4,8.9
514,Nenad Krstic,2004.0,75.0,26.2,10.0,3.7,7.6,49.3,0.0,0.0,0,2.5,3.4,72.5,2.1,3.2,5.3,1.0,0.4,0.8,1.5,11.3
515,JR Smith,2004.0,76.0,24.5,10.3,3.9,9.8,39.4,1.1,3.7,28.8,1.5,2.1,68.9,0.5,1.5,2.0,1.9,0.7,0.1,1.4,7.0
516,Ben Gordon,2004.0,82.0,24.4,15.1,5.3,12.9,41.1,1.6,4.0,40.5,2.8,3.3,86.3,0.7,2.0,2.6,2.0,0.7,0.1,2.3,10.1
517,Andres Nocioni,2004.0,81.0,23.4,8.4,3.0,7.4,40.1,0.3,1.2,25.8,2.1,2.7,76.6,0.9,3.9,4.8,1.5,0.5,0.4,1.7,8.8
518,Quinton Ross,2004.0,78.0,21.3,5.1,2.1,4.8,43.2,0.0,0.1,25,0.9,1.4,67.3,0.8,1.9,2.7,1.4,0.7,0.3,0.7,6.2
519,Jameer Nelson,2004.0,79.0,20.4,8.7,3.6,7.9,45.5,0.6,1.8,31.2,0.9,1.4,68.2,0.7,1.8,2.4,3.0,1.0,0.0,1.5,8.9
520,Sebastian Telfair,2004.0,68.0,19.6,6.8,2.5,6.3,39.3,0.3,1.0,24.6,1.5,2.0,78.9,0.1,1.4,1.5,3.3,0.5,0.1,1.8,6.1
521,Matt Freije,2004.0,23.0,19.2,4.0,1.6,5.5,29.1,0.6,2.3,25.9,0.2,0.3,62.5,0.7,2.0,2.7,0.9,0.6,0.1,0.7,3.4
522,Matt Bonner,2004.0,82.0,18.9,7.2,3.0,5.6,53.3,0.5,1.1,42.4,0.7,0.9,78.9,1.3,2.2,3.5,0.6,0.5,0.2,0.5,8.6
523,David Harrison,2004.0,43.0,17.7,6.1,2.5,4.3,57.6,0.0,0.0,0,1.2,2.1,57.1,1.1,2.0,3.1,0.3,0.4,1.3,1.2,7.3
524,Trevor Ariza,2004.0,80.0,17.3,5.9,2.2,4.9,44.2,0.0,0.2,23.1,1.5,2.2,69.5,1.1,1.9,3.0,1.1,0.9,0.2,0.9,6.8
525,Nick Collison,2004.0,82.0,17.0,5.6,2.3,4.3,53.7,0.0,0.0,0,1.0,1.4,70.3,1.9,2.7,4.6,0.4,0.4,0.6,0.8,8.5
526,Tony Allen,2004.0,77.0,16.4,6.4,2.4,5.0,47.5,0.2,0.4,38.7,1.5,2.0,73.7,1.1,1.8,2.9,0.8,1.0,0.3,1.0,7.2
527,Anderson Varejao,2004.0,54.0,16.0,4.9,1.8,3.6,51.3,0.0,0.0,0,1.3,2.4,53.5,2.0,2.7,4.8,0.5,0.8,0.7,0.5,8.3
528,Devin Harris,2004.0,76.0,15.4,5.7,2.1,4.8,42.9,0.6,1.7,33.6,1.0,1.4,75.7,0.4,1.0,1.3,2.2,1.0,0.3,1.1,6.4
529,Jackson Vroman,2004.0,46.0,15.3,4.6,1.8,4.3,41.2,0.0,0.1,0,1.0,1.6,64.0,1.4,2.4,3.8,0.9,0.5,0.4,1.4,5.7
530,Al Jefferson,2004.0,71.0,14.8,6.7,2.7,5.2,52.8,0.0,0.0,0,1.2,1.9,63.0,1.7,2.7,4.4,0.3,0.3,0.8,0.9,8.4
531,Beno Udrih,2004.0,80.0,14.4,5.9,2.2,4.9,44.4,0.7,1.8,40.8,0.8,1.1,75.3,0.2,0.8,1.0,1.9,0.5,0.1,1.0,5.5
532,Billy Thomas,2004.0,25.0,14.2,3.7,1.4,3.8,36.2,0.7,2.2,30.4,0.3,0.4,77.8,0.3,1.2,1.4,0.7,0.6,0.0,0.4,3.6
533,Kirk Snyder,2004.0,68.0,13.3,5.0,1.8,4.8,37.2,0.4,1.3,35.3,0.9,1.4,66.7,0.7,1.0,1.8,0.5,0.4,0.3,0.8,3.6
534,Royal Ivey,2004.0,62.0,13.0,3.5,1.4,3.2,42.9,0.0,0.1,33.3,0.8,1.1,70.1,0.3,1.0,1.4,1.7,0.6,0.1,0.9,4.2
535,Kris Humphries,2004.0,67.0,13.0,4.1,1.7,4.3,40.4,0.0,0.1,33.3,0.7,1.5,43.6,1.1,1.9,2.9,0.6,0.4,0.3,0.8,4.2
536,Delonte West,2004.0,39.0,13.0,4.5,1.7,4.0,42.6,0.6,1.7,35.8,0.5,0.7,70.4,0.4,1.3,1.7,1.4,0.5,0.2,0.6,5.2
537,Andre Barrett,2004.0,38.0,12.7,3.1,1.2,3.3,36.3,0.4,1.4,26.9,0.4,0.5,73.7,0.3,0.8,1.1,1.8,0.5,0.0,0.7,3.6
538,Rafael Araujo,2004.0,59.0,12.5,3.3,1.3,3.0,43.4,0.0,0.1,33.3,0.7,0.9,78.2,1.0,2.1,3.1,0.3,0.4,0.1,0.9,4.5
539,Lionel Chalmers,2004.0,36.0,12.0,3.1,1.2,3.5,33.6,0.3,1.4,24.5,0.4,0.7,62.5,0.1,0.8,0.9,1.4,0.4,0.0,0.7,2.5
540,Sasha Vujacic,2004.0,35.0,11.5,2.9,0.9,3.3,28.2,0.5,1.8,27,0.5,0.5,94.7,0.4,1.4,1.8,1.5,0.3,0.1,0.4,3.7
541,Donta Smith,2004.0,38.0,11.4,3.3,1.2,3.0,38.9,0.2,0.6,27.3,0.9,1.3,68.8,0.5,0.9,1.4,1.0,0.6,0.1,0.7,3.6
542,James Thomas,2004.0,11.0,10.6,2.4,1.1,1.8,60.0,0.0,0.0,0,0.2,0.5,33.3,1.5,1.8,3.4,0.4,0.4,0.4,0.6,5.1
543,Kevin Martin,2004.0,45.0,10.1,2.9,1.0,2.6,38.5,0.1,0.6,20,0.8,1.2,65.5,0.6,0.6,1.3,0.5,0.4,0.1,0.5,2.6
544,Pape Sow,2004.0,27.0,9.4,2.3,0.9,2.1,39.7,0.0,0.0,0,0.6,1.0,59.3,0.7,1.4,2.1,0.1,0.4,0.1,0.4,3.0
545,Mario Kasun,2004.0,45.0,7.9,2.6,1.0,2.2,48.0,0.0,0.0,0,0.5,1.0,55.8,1.2,1.7,2.8,0.2,0.2,0.3,0.6,4.0
546,Luis Flores,2004.0,16.0,4.8,2.2,0.9,1.8,48.3,0.3,0.6,50,0.1,0.1,100.0,0.1,0.1,0.2,0.7,0.1,0.0,0.7,1.6
547,LeBron James,2003.0,79.0,39.5,20.9,7.9,18.9,41.7,0.8,2.7,29,4.4,5.8,75.4,1.3,4.2,5.5,5.9,1.6,0.7,3.5,18.8
548,Carmelo Anthony,2003.0,82.0,36.5,21.0,7.6,17.9,42.6,0.8,2.6,32.2,5.0,6.4,77.7,2.2,3.8,6.1,2.8,1.2,0.5,3.0,16.9
549,Kirk Hinrich,2003.0,76.0,35.6,12.0,4.2,10.8,38.6,1.9,4.9,39,1.8,2.2,80.4,0.6,2.9,3.4,6.8,1.3,0.3,2.7,14.1
550,Dwyane Wade,2003.0,61.0,34.9,16.2,6.1,13.1,46.5,0.3,0.9,30.2,3.8,5.1,74.7,1.4,2.7,4.0,4.5,1.4,0.6,3.2,15.3
551,Chris Bosh,2003.0,75.0,33.5,11.5,4.4,9.5,45.9,0.1,0.2,35.7,2.7,3.8,70.1,2.5,4.9,7.4,1.0,0.8,1.4,1.4,14.4
552,Jarvis Hayes,2003.0,70.0,29.2,9.6,4.0,9.9,40.0,0.6,1.9,30.5,1.1,1.4,78.6,1.0,2.8,3.8,1.5,1.0,0.2,1.6,8.2
553,T.J. Ford,2003.0,55.0,26.8,7.1,2.8,7.2,38.4,0.1,0.4,23.8,1.5,1.8,81.6,0.7,2.5,3.2,6.5,1.1,0.1,2.5,10.6
554,Boris Diaw,2003.0,76.0,25.3,4.5,1.8,4.1,44.7,0.1,0.3,23.1,0.7,1.2,60.2,1.5,3.0,4.5,2.4,0.8,0.5,1.7,8.2
555,Keith Bogans,2003.0,73.0,24.5,6.8,2.5,6.2,40.3,0.9,2.6,35.8,0.9,1.4,63.1,1.5,2.9,4.3,1.3,0.6,0.1,1.0,8.0
556,Udonis Haslem,2003.0,75.0,23.9,7.3,2.7,6.0,45.9,0.0,0.0,0,1.9,2.4,76.5,2.5,3.8,6.3,0.7,0.4,0.3,1.0,10.3
557,Josh Howard,2003.0,67.0,23.7,8.6,3.4,7.9,43.0,0.3,1.0,30.3,1.4,2.1,70.3,2.2,3.3,5.5,1.4,1.0,0.8,1.0,11.2
558,Chris Kaman,2003.0,82.0,22.5,6.1,2.4,5.3,46.0,0.0,0.0,0,1.2,1.7,69.7,1.5,4.1,5.6,1.0,0.3,0.9,1.9,8.6
559,Leandro Barbosa,2003.0,70.0,21.4,7.9,3.0,6.7,44.7,1.2,3.0,39.5,0.7,0.9,77.0,0.3,1.4,1.8,2.4,1.3,0.1,1.7,7.8
